"Time","Frequency (Hz)","Level (dBµV/m)","Level_1 (dBµV/m)","Level_2 (dBµV/m)","Level_3 (dBµV/m)","Value Count","File Info"
"10/12/2021  10:40:00.000","   106100000","  27.4","   1.7","  24.2","  30.7","40",
"10/12/2021  11:20:00.000","   106125000","  23.2","   1.5","  18.9","  26.1","76",
"10/12/2021  11:20:00.000","   106150000","  22.4","   1.7","  16.9","  25.2","76",
"10/12/2021  11:20:00.000","   106175000","  22.9","   1.8","  17.2","  25.9","76",
"10/12/2021  11:20:00.000","   106200000","  24.4","   2.0","  18.7","  27.7","76",
"10/12/2021  11:20:00.000","   106225000","  26.7","   2.1","  20.8","  30.8","76",
"10/12/2021  11:20:00.000","   106250000","  29.5","   2.4","  23.1","  35.5","76",
"10/12/2021  11:20:00.000","   106275000","  31.7","   2.8","  24.9","  40.4","76",
"10/12/2021  11:20:00.000","   106300000","  32.7","   2.9","  25.8","  42.7","76",
"10/12/2021  11:20:00.000","   106325000","  32.2","   2.8","  25.4","  40.9","76",
"10/12/2021  11:20:00.000","   106350000","  30.2","   2.4","  23.8","  36.2","76",
"10/12/2021  11:20:00.000","   106375000","  27.1","   2.2","  21.3","  31.7","76",
"10/12/2021  11:20:00.000","   106400000","  23.8","   2.2","  18.7","  28.3","76",
"10/12/2021  11:20:00.000","   106425000","  21.9","   2.0","  16.7","  26.3","76",
"10/12/2021  11:20:00.000","   106450000","  21.6","   2.0","  16.2","  25.6","76",
"10/12/2021  11:20:00.000","   106475000","  22.6","   2.0","  16.6","  26.2","76",
"10/12/2021  11:20:00.000","   106500000","  24.0","   2.1","  17.6","  28.1","76",
"10/12/2021  11:20:00.000","   106525000","  25.4","   2.3","  18.3","  29.9","76",
"10/12/2021  11:20:00.000","   106550000","  26.8","   2.7","  18.9","  33.6","76",
"10/12/2021  11:20:00.000","   106575000","  27.7","   3.1","  19.4","  36.6","76",
"10/12/2021  11:20:00.000","   106600000","  27.9","   3.3","  19.3","  37.8","76",
"10/12/2021  11:20:00.000","   106625000","  27.4","   3.1","  18.9","  36.7","76",
"10/12/2021  11:20:00.000","   106650000","  26.2","   2.8","  18.0","  33.7","76",
"10/12/2021  11:20:00.000","   106675000","  24.6","   2.4","  17.1","  29.6","76",
"10/12/2021  11:20:00.000","   106700000","  23.3","   2.1","  16.9","  27.6","76",
"10/12/2021  11:20:00.000","   106725000","  22.8","   1.9","  16.6","  26.4","76",
"10/12/2021  11:20:00.000","   106750000","  23.4","   1.7","  17.8","  26.6","76",
"10/12/2021  11:20:00.000","   106775000","  24.0","   1.7","  18.3","  27.9","76",
"10/12/2021  10:50:00.000","   106800000","  24.5","   2.7","  14.1","  28.2","76",
"10/12/2021  10:50:00.000","   106825000","  24.6","   2.6","  14.3","  28.3","76",
"10/12/2021  11:20:00.000","   106850000","  24.5","   2.0","  18.3","  29.4","76",
"10/12/2021  10:50:00.000","   106875000","  25.2","   2.3","  17.8","  29.1","76",
"10/12/2021  10:50:00.000","   106900000","  27.5","   2.0","  19.3","  31.4","76",
"10/12/2021  10:50:00.000","   106925000","  32.8","   2.6","  23.2","  39.2","76",
"10/12/2021  10:50:00.000","   106950000","  40.3","   1.9","  34.9","  43.9","76",
"10/12/2021  10:40:00.000","   106975000","  47.1","   0.4","  46.1","  47.8","40",
"10/12/2021  10:40:00.000","   107000000","  49.6","   0.9","  48.3","  51.6","40",
